,C,H,O,N,C13,S,P,Na,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect,NOSC,GFE,AI,AI_Mod,DBE,DBE_O,DBE_AI,ElComposition,bs1_class,bs2_class,bs3_class
497.072814,24,18,12,0,0,0,0,0,C24H18O12,0.5,0.75,0,0,NA,496.517778055245,0.482221944754656,0.25,53.175,0.333333333333333,0.555555555555556,16,4,4,CHO,Cond Hydrocarbon,Cond Hydrocarbon,Other
497.07307,27,19,4,2,0,1,1,0,C27H19N2O4SP,0.148148148148148,0.703703703703704,0.0740740740740741,0.037037037037037,2,496.518033769393,0.481966230606531,-0.296296296296297,68.7444444444445,0.631578947368421,0.666666666666667,20,16,12,CHNOSP,Unsat Hydrocarbon,Cond Hydrocarbon,Phytochemical
497.0833534,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.528305686857,0.471694313142791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.0837693,23,18,11,2,0,0,0,0,C23H18N2O11,0.478260869565217,0.782608695652174,0.0869565217391304,0,NA,496.52872112246,0.471278877540499,0.434782608695652,47.9086956521739,0.3,0.548387096774194,16,5,3,CHNO,Cond Hydrocarbon,Cond Hydrocarbon,Other
497.0855735,21,23,12,0,0,0,1,0,C21H23O12P,0.571428571428571,1.0952380952381,0,0.0476190476190476,0,496.530523307874,0.469476692126307,-0.190476190476191,65.7285714285714,0,0.285714285714286,11,-1,-2,CHOP,Lignin,Lignin,Phytochemical
497.0858685,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.530817978474,0.469182021525967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.0924818,25,24,7,0,0,0,2,0,C25H24O7P2,0.28,0.96,0,0.08,0,496.537423894004,0.462576105995822,-0.8,83.1,0.375,0.487179487179487,15,8,6,CHOP,Lignin,Lignin,Phytochemical
497.0938304,21,22,14,0,0,0,0,0,C21H22O14,0.666666666666667,1.04761904761905,0,0,NA,496.538770988145,0.461229011854641,0.285714285714286,52.1571428571429,0,0.285714285714286,11,-3,-3,CHO,Tannin,Tannin,Other
497.101067,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.545999507693,0.454000492306818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.1026985,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.547629185946,0.452370814054348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.1031087,32,18,6,0,0,0,0,0,C32H18O6,0.1875,0.5625,0,0,NA,496.548038927913,0.451961072087272,-0.1875,65.64375,0.692307692307692,0.724137931034483,24,18,18,CHO,Cond Hydrocarbon,Cond Hydrocarbon,Other
497.108347,17,26,13,2,0,1,0,0,C17H26N2O13S,0.764705882352941,1.52941176470588,0.117647058823529,0,NA,496.55327137878,0.446728621219904,0.470588235294118,46.8882352941176,0,0,6,-7,-10,CHNOS,Carbohydrate,Carbohydrate,Other
497.1089433,25,22,11,0,0,0,0,0,C25H22O11,0.44,0.88,0,0,NA,496.553867012946,0.446132987053772,0,60.3,0.285714285714286,0.487179487179487,15,4,4,CHO,Lignin,Lignin,Other
497.109211,25,22,11,0,0,0,0,0,C25H22O11,0.44,0.88,0,0,NA,496.55413441403,0.445865585969955,0,60.3,0.285714285714286,0.487179487179487,15,4,4,CHO,Lignin,Lignin,Other
497.112469,15,34,8,2,0,4,0,0,C15H34N2O8S4,0.533333333333333,2.26666666666667,0.133333333333333,0,NA,496.557388776118,0.442611223881897,-0.266666666666667,67.9,0,0,0,-8,-14,CHNOS,Other,Protein,Protein
497.1220645,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.566973561697,0.433026438302875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.1301173,22,26,13,0,0,0,0,0,C22H26O13,0.590909090909091,1.18181818181818,0,0,NA,496.575017369869,0.424982630131353,0,60.3,0,0.225806451612903,10,-3,-3,CHO,Lignin,Lignin,Other
497.1396062,33,22,5,0,0,0,0,0,C33H22O5,0.151515151515152,0.666666666666667,0,0,NA,496.584495674478,0.415504325521852,-0.363636363636363,70.6636363636364,0.642857142857143,0.672131147540984,23,18,18,CHO,Cond Hydrocarbon,Cond Hydrocarbon,Other
497.140033,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.584921997909,0.415078002090524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.1453483,26,26,10,0,0,0,0,0,C26H26O10,0.384615384615385,1,0,0,NA,496.590231362798,0.409768637201978,-0.230769230769231,66.8769230769231,0.25,0.428571428571429,14,4,4,CHO,Lignin,Lignin,Other
497.1456485,26,26,10,0,0,0,0,0,C26H26O10,0.384615384615385,1,0,0,NA,496.590531227592,0.40946877240799,-0.230769230769231,66.8769230769231,0.25,0.428571428571429,14,4,4,CHO,Lignin,Lignin,Other
497.148804,23,30,10,0,0,1,0,0,C23H30O10S,0.434782608695652,1.30434782608696,0,0,NA,496.593683204133,0.406316795867497,-0.347826086956522,70.2130434782609,0,0.176470588235294,9,-1,-2,CHOS,Lignin,Lignin,Other
497.1584593,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.603327722938,0.396672277061725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.1664734,23,30,12,0,0,0,0,0,C23H30O12,0.521739130434783,1.30434782608696,0,0,NA,496.611332874323,0.388667125677443,-0.260869565217392,67.7347826086957,0,0.176470588235294,9,-3,-3,CHO,Lignin,Lignin,Other
497.1760274,34,26,4,0,0,0,0,0,C34H26O4,0.117647058823529,0.764705882352941,0,0,NA,496.620876206241,0.379123793759106,-0.529411764705882,75.3882352941176,0.6,0.625,22,18,18,CHO,Unsat Hydrocarbon,Cond Hydrocarbon,Other
497.1763299,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.621178368467,0.378821631533356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.1792927,20,35,12,0,0,0,1,0,C20H35O12P,0.6,1.75,0,0.05,0,496.624137860178,0.375862139822289,-0.8,83.1,0,0,4,-8,-9,CHOP,Amino Sugar,Amino Sugar,Lipid
497.179625,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.624469789129,0.375530210871432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.181209,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.62605202042,0.373947979579953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.1817033,27,30,9,0,0,0,0,0,C27H30O9,0.333333333333333,1.11111111111111,0,0,NA,496.62654576848,0.373454231519815,-0.444444444444445,72.9666666666667,0.222222222222222,0.377777777777778,13,4,4,CHO,Lignin,Lignin,Other
497.1820223,27,30,9,0,0,0,0,0,C27H30O9,0.333333333333333,1.11111111111111,0,0,NA,496.626864412282,0.373135587718025,-0.444444444444445,72.9666666666667,0.222222222222222,0.377777777777778,13,4,4,CHO,Lignin,Lignin,Other
